file,emotion,dur,F1,F2,F3,F4,F5,F6,Mean_F0,F0_start,F0_end,Max_F0,Perc_Time_Max_F0,Min_F0,F0_abs_slope,F0_Var,Q25,Q50,Q75,Fpeak,AM_var,AM_rate,AM_extent,harmonicity,Formant_dispersal,Vocal_tract_length,Mean_wiener_entropy
ut_disgust_17-f,disgust,1.111,698.922,1843.315,3475.902,4324.554,6156.981,7673.44,288.116,121.32,314.79,443.872,54.362,100.502,1022.592,902.595,1538.111,2232.194,3478.051,1813.699,99.094,12.148,8.157,4.23,1141.201,15.335,-1.732
ut_disgust_18-f,disgust,0.645,458.364,1287.949,3365.606,4341.027,5212.596,6041.769,387.732,411.72,101.08,455.974,35.894,101.085,767.579,374.68,427.444,581.181,1331.387,426.636,108.167,9.296,11.636,13.97,1090.573,16.047,-2.017
ut_disgust_19-f-scream,disgust,0.625,613.503,1340.666,1669.7,3109.476,6096.123,7117.808,306.159,440.56,365.7,477.528,77.905,184.81,1196.685,1035.001,715.272,1226.09,1600.945,1439.887,106.955,15.206,7.034,5.52,858.172,20.392,-2.776
ut_disgust_21-f-roar,disgust,0.607,878.571,1791.94,3638.337,4795.119,6219.591,7652.137,195.419,306.65,468.34,468.342,64.494,118.24,1495.755,814.118,873.907,1450.748,2340.654,930.145,91.737,13.999,6.553,1.55,835.866,20.936,-1.430
ut_disgust_24-f,disgust,1.038,485.985,1249.041,3106.243,4147.442,6167.297,7625.804,233.646,289.54,203.95,289.545,2.974,199.317,107.689,93.091,468.178,619.409,1313.422,498.82,102.308,9.155,11.176,13.75,1246.754,14.036,-1.750
ut_disgust_27-f,disgust,0.505,609.47,1195.788,3190.403,3600.925,4273.513,6444.114,205.33,303.78,179.91,303.784,14.341,177.451,404.934,263.315,579.986,827.465,1306.201,585.567,161.918,8.915,18.163,7.59,1129.913,15.488,-0.907
ut_disgust_30-f,disgust,0.67,746.799,1099.089,3208.7,4096.402,5364.171,6811.713,217.45,125.05,108.01,290.019,19.302,108.013,570.464,517.389,696.944,885.544,1163.654,809.931,95.447,12.691,7.521,9.73,1181.515,14.811,-1.198
ut_disgust_34-f,disgust,0.591,880.93,1410.48,3511.886,4509.851,5418.929,5698.605,332.389,257.43,134.9,437.952,43.032,134.895,888.909,790.464,915.401,1261.85,1815.472,864.979,97.652,16.916,5.773,8.62,1212.978,14.427,-2.165
ut_disgust_35-m,disgust,0.638,594.457,957.388,2206.707,3094.841,5785.376,6309.654,154.582,168.17,111.87,178.222,17.778,111.871,160.13,109.744,474.939,687.975,945.638,896.245,94.641,11.748,8.056,7.37,925.506,18.909,-0.880
ut_disgust_37-f,disgust,0.794,529.036,1217.848,2427.169,3832.235,4652.739,7105.227,286.694,257.43,95.25,352.514,33.26,95.247,500.491,324.632,429.122,698.842,1500.156,341.009,88.795,13.216,6.719,9.32,1059.047,16.524,-1.379
ut_disgust_39-c,disgust,0.443,779.19,1857.934,3323.972,5056.504,5432.462,7075.03,342.956,191.16,418.97,420.435,72.156,184.638,923.293,525.165,773.351,1094.847,2950.625,791.848,236.769,13.548,17.476,5.77,1150.744,15.208,-2.851
ut_disgust_41-c,disgust,0.54,750.968,1306.158,2954.485,3865.055,4753.117,6040.302,332.955,315.01,295.56,358.886,48.926,295.556,273.33,185.056,788.358,1077.616,1525.764,714.262,97.18,12.048,8.066,10.32,843.149,20.756,-1.806
ut_disgust_42-c_weird-tone-lemon,disgust,2.128,1000.057,3084.176,3708.675,5529.829,6465.985,7364.152,342.808,450.61,386.42,450.614,0.751,224.877,435.038,418.072,827.556,1004.135,1151.94,1006.271,87.848,19.032,4.616,13.74,1034.593,16.915,-1.762
ut_disgust_44-m-toilet,disgust,0.696,526.586,1209.151,2510.191,3707.364,4030.343,4576.544,135.255,152.87,118.94,152.872,14.933,118.939,117.823,33.819,420.594,728.323,1520.635,442.532,116.197,12.216,9.512,2.2,1049.163,16.68,-1.047
ut_disgust_45-m-toilet,disgust,2.571,609.815,1001.957,2201.275,3723.818,5603.199,6119.139,163.456,164.98,294.02,294.02,89.99,117.684,146.704,71.156,567.805,740.015,1141.204,557.896,138.959,14.199,9.787,4.65,1069.891,16.357,-0.873
ut_disgust_46-m-toilet,disgust,1.215,563.686,1055.653,2638.1,3710.434,4607.25,5584.68,172.281,167.56,138.01,187.303,38.684,138.006,108.352,50.699,385.037,603.201,1102.796,531.912,120.232,11.932,10.076,7.27,1074.807,16.282,-0.798
ut_disgust_51-m-toilet,disgust,0.604,645.916,1060.967,2793.54,4403.421,5211.926,5884.328,149.09,282.89,101.77,282.888,7.596,101.768,816.537,339.916,612.152,737.966,1052.851,639.223,107.382,12.423,8.644,2.18,1088.713,16.074,-1.066
ut_disgust_52-m-toilet,disgust,1.42,612.29,1506.493,2707.094,3573.093,4920.581,7606.926,139.333,152.81,98.44,174.794,71.147,98.439,236.202,170.184,526.79,811.931,1804.514,636.296,153.998,8.098,19.017,0.9,1107.908,15.796,-1.375
ut_disgust_54-m-toilet,disgust,0.653,492.576,938.064,2874.044,3790.12,4904.565,5717.752,187.606,122.6,214.17,236.882,49.005,122.6,236.494,214.183,465.602,600.332,1048.19,470.491,75.783,9.182,8.254,14.38,1180.908,14.819,-1.603
ut_effort-m-10-toilet,effort,0.628,661.442,1868.902,2880.881,3732.743,4785.524,6289.409,351.75,355.55,348.01,355.545,13.685,348.014,235.358,0.0,702.209,1803.62,2636.155,1948.895,118.053,15.131,7.802,0.86,1121.518,15.604,-1.676
ut_effort-m-11-sports,effort,0.448,1235.898,2294.597,2944.802,4166.367,5325.008,6359.751,185.683,185.94,186.8,188.437,35.566,183.05,80.88,17.405,236.553,1078.156,2343.317,182.079,195.261,5.575,35.025,1.51,904.052,19.357,-1.184
ut_effort-m-13-sports,effort,0.589,458.637,1077.202,1808.832,2506.721,4533.025,5585.741,263.326,393.7,146.43,405.068,11.636,146.429,1709.783,1009.962,403.542,651.455,1374.073,364.059,104.86,11.043,9.495,1.67,893.407,19.588,-1.120
