,file,emotion,dur,F1,F2,F3,F4,F5,F6,Mean_F0,F0_start,F0_end,Max_F0,Perc_Time_Max_F0,Min_F0,F0_abs_slope,F0_Var,Q25,Q50,Q75,Fpeak,AM_var,AM_rate,AM_extent,harmonicity,Formant_dispersal,Vocal_tract_length,Mean_wiener_entropy,bin_emo_val,ord_emo_val
16,ut_anger_49-f-scream-tantrum,anger,1.4509999999999998,902.0010000000001,1307.748,2036.1029999999998,2917.2490000000003,4101.539000000001,5394.024,225.507,135.97,303.98,442.543,9.499,88.81200000000001,843.34,789.182,1162.358,1486.161,3246.612,1257.836,50.208999999999996,21.022,2.388,7.29,879.4110000000001,19.9,-3.199,0,2
17,ut_anger_51-m-scream-tantrum,anger,0.851,906.044,1286.771,1962.3029999999999,2577.345,3287.58,4301.517,323.115,381.8,422.6,469.525,12.525,116.96600000000001,1163.748,823.4780000000001,1101.856,1695.0810000000001,2550.222,1242.493,66.815,19.387999999999998,3.446,1.04,886.296,19.745,-1.988,0,2
18,ut_anger_54-m-roar,anger,0.792,565.914,1437.1989999999998,2908.0759999999996,4327.3640000000005,6020.129,7068.646,361.399,245.26,372.8,403.726,29.005,245.25799999999998,414.918,248.732,388.591,628.937,955.23,382.055,81.318,12.625,6.441,6.0,1100.202,15.905999999999999,-1.512,0,2
19,ut_anger_55-m-roar-with-effort,anger,1.025,532.312,1138.6,1848.53,2923.105,3653.441,6039.156,285.215,260.95,200.1,424.56300000000005,59.976000000000006,200.09799999999998,683.1610000000001,278.637,482.352,807.382,1577.5829999999999,536.826,56.754,19.992,2.839,2.39,990.2560000000001,17.672,-1.174,0,2
20,ut_anger_58-m-roar,anger,0.593,776.987,1282.549,2561.1679999999997,2989.218,3757.008,5281.227,266.263,311.14,358.12,358.116,97.22,207.28,571.774,492.478,796.7280000000001,1145.836,1521.922,1243.3139999999999,78.684,14.335,5.489,2.66,903.227,19.375,-1.655,0,2
21,ut_anger_59-m-roar,anger,0.996,976.311,1330.8139999999999,1853.15,2648.3340000000003,4551.45,5118.502,247.739,436.07,201.68,436.097,13.364,106.846,1262.225,350.94,1256.879,2033.399,4255.670999999999,1221.521,83.79700000000001,16.067999999999998,5.215,-0.63,856.035,20.442999999999998,-1.918,0,2
22,ut_anger_61-m-roar-curse,anger,0.858,776.435,1223.029,2599.52,3187.7209999999995,4299.995,5496.334,215.03400000000002,274.81,166.7,446.28,64.77199999999999,86.075,1585.3870000000002,1218.228,810.9960000000001,1088.259,1342.7,1263.663,93.656,18.064,5.185,1.89,860.5039999999999,20.337,-2.432,0,2
23,ut_anger_62-m-growl,anger,0.5760000000000001,540.455,1532.576,2804.362,3922.171,5640.081999999999,6141.606,167.62900000000002,167.64,167.62,167.637,36.106,167.62099999999998,1.944,0.0,515.414,2047.396,6347.024,354.715,108.40100000000001,13.025,8.322000000000001,7.51,1152.552,15.184000000000001,-2.820,0,2
24,ut_anger_64-m-roar-overdrive,anger,0.95,779.0880000000001,1473.2920000000001,2865.4790000000003,4172.141,5212.116,6065.486999999999,234.796,371.7,139.69,376.86199999999997,7.17,139.694,538.257,251.325,906.22,1701.226,5228.622,817.296,80.054,15.786,5.071000000000001,3.21,1045.818,16.733,-2.255,0,2
25,ut_disgust_03,disgust,1.535,488.70599999999996,1224.8039999999999,2578.473,3458.447,4174.223,5899.363,125.59299999999999,149.47,103.52,155.83700000000002,11.706,101.395,55.287,46.516999999999996,450.615,556.928,1010.6569999999999,463.68699999999995,62.943000000000005,9.772,6.441,18.61,1070.065,16.354,-1.625,0,3
26,ut_disgust_04,disgust,0.65,580.775,2496.05,3479.421,4457.558,5440.453,6840.387,157.029,117.52,130.62,180.153,67.303,117.524,253.838,197.28799999999998,295.802,576.664,974.0,160.386,119.16799999999999,10.006,11.91,2.94,896.587,19.518,-0.973,0,3
27,ut_disgust_10-1,disgust,0.586,690.1510000000001,1082.355,3061.841,3972.7340000000004,5032.107,5726.503000000001,306.222,274.34,254.65,358.481,28.875,254.648,361.49300000000005,313.976,674.275,863.308,1201.945,694.096,64.3,12.800999999999998,5.023,5.75,1100.782,15.898,-1.859,0,3
28,ut_disgust_10-2,disgust,0.529,592.374,1560.0339999999999,1769.0929999999998,3355.091,3767.698,4544.259,321.71,349.84,271.39,349.843,27.31,271.385,272.422,57.632,1877.849,3639.2470000000003,5311.722,4525.666,142.483,9.454,15.071,7.62,1105.9660000000001,15.823,-2.086,0,3
29,ut_disgust_12,disgust,1.652,545.266,1209.885,2228.061,2750.572,4689.721,6406.596,95.991,93.55,89.3,274.22700000000003,83.103,77.207,293.634,129.739,498.431,945.5269999999999,3774.9990000000003,545.106,131.312,17.254,7.611000000000001,1.86,1202.768,14.55,-2.214,0,3
30,ut_disgust_16-f,disgust,0.73,831.4169999999999,1996.737,3648.502,4544.274,8086.363,8790.028,288.55,121.01,451.82,459.837,68.667,96.494,923.942,868.118,800.8969999999999,1205.183,2644.355,918.545,99.785,16.437,6.071000000000001,6.2,1263.233,13.853,-2.113,0,3
31,ut_disgust_17-f,disgust,1.111,698.922,1843.315,3475.902,4324.554,6156.981,7673.44,288.116,121.32,314.79,443.87199999999996,54.361999999999995,100.50200000000001,1022.592,902.595,1538.111,2232.194,3478.051,1813.6989999999998,99.094,12.148,8.157,4.23,1141.201,15.335,-1.732,0,3
32,ut_disgust_18-f,disgust,0.645,458.36400000000003,1287.9489999999998,3365.6059999999998,4341.027,5212.596,6041.769,387.73199999999997,411.72,101.08,455.974,35.894,101.085,767.579,374.68,427.444,581.181,1331.3870000000002,426.63599999999997,108.167,9.296,11.636,13.97,1090.573,16.047,-2.017,0,3
33,ut_disgust_19-f-scream,disgust,0.625,613.503,1340.6660000000002,1669.7,3109.4759999999997,6096.1230000000005,7117.808000000001,306.159,440.56,365.7,477.528,77.905,184.81,1196.685,1035.001,715.2719999999999,1226.09,1600.945,1439.8870000000002,106.955,15.206,7.034,5.52,858.172,20.392,-2.776,0,3
34,ut_disgust_21-f-roar,disgust,0.607,878.571,1791.94,3638.337,4795.119000000001,6219.590999999999,7652.137,195.419,306.65,468.34,468.342,64.494,118.24,1495.755,814.118,873.9069999999999,1450.7479999999998,2340.654,930.145,91.73700000000001,13.999,6.553,1.55,835.8660000000001,20.936,-1.430,0,3
35,ut_disgust_24-f,disgust,1.038,485.985,1249.0410000000002,3106.243,4147.442,6167.297,7625.804,233.646,289.54,203.95,289.545,2.9739999999999998,199.317,107.689,93.09100000000001,468.17800000000005,619.409,1313.422,498.82,102.30799999999999,9.155,11.175999999999998,13.75,1246.754,14.036,-1.750,0,3
36,ut_disgust_27-f,disgust,0.505,609.47,1195.788,3190.403,3600.925,4273.513,6444.1140000000005,205.33,303.78,179.91,303.784,14.341,177.451,404.934,263.315,579.986,827.465,1306.201,585.567,161.918,8.915,18.163,7.59,1129.913,15.488,-0.907,0,3
37,ut_disgust_30-f,disgust,0.67,746.799,1099.089,3208.7,4096.402,5364.170999999999,6811.713000000001,217.45,125.05,108.01,290.019,19.302,108.01299999999999,570.464,517.389,696.944,885.544,1163.654,809.931,95.447,12.690999999999999,7.521,9.73,1181.515,14.811,-1.198,0,3
38,ut_disgust_34-f,disgust,0.591,880.93,1410.48,3511.886,4509.851,5418.929,5698.605,332.389,257.43,134.9,437.952,43.032,134.895,888.909,790.4639999999999,915.4010000000001,1261.85,1815.4720000000002,864.9789999999999,97.652,16.916,5.773,8.62,1212.978,14.427,-2.165,0,3
39,ut_disgust_35-m,disgust,0.638,594.457,957.388,2206.7070000000003,3094.841,5785.376,6309.654,154.582,168.17,111.87,178.222,17.778,111.87100000000001,160.13,109.744,474.939,687.975,945.638,896.245,94.641,11.748,8.056000000000001,7.37,925.5060000000001,18.909000000000002,-0.880,0,3
40,ut_disgust_37-f,disgust,0.794,529.036,1217.848,2427.169,3832.235,4652.7390000000005,7105.227,286.694,257.43,95.25,352.514,33.26,95.24700000000001,500.491,324.632,429.12199999999996,698.842,1500.156,341.009,88.795,13.216,6.718999999999999,9.32,1059.047,16.524,-1.379,0,3
41,ut_disgust_39-c,disgust,0.44299999999999995,779.19,1857.934,3323.972,5056.504,5432.4619999999995,7075.03,342.95599999999996,191.16,418.97,420.435,72.156,184.638,923.293,525.165,773.3510000000001,1094.847,2950.625,791.8480000000001,236.769,13.548,17.476,5.77,1150.744,15.208,-2.851,0,3
42,ut_disgust_41-c,disgust,0.54,750.9680000000001,1306.1580000000001,2954.485,3865.055,4753.117,6040.302,332.955,315.01,295.56,358.88599999999997,48.926,295.556,273.33,185.05599999999998,788.3580000000001,1077.616,1525.764,714.262,97.18,12.048,8.066,10.32,843.1489999999999,20.756,-1.806,0,3
43,ut_disgust_42-c_weird-tone-lemon,disgust,2.128,1000.057,3084.176,3708.675,5529.829000000001,6465.985,7364.151999999999,342.80800000000005,450.61,386.42,450.61400000000003,0.7509999999999999,224.877,435.038,418.07199999999995,827.556,1004.135,1151.94,1006.2710000000001,87.848,19.032,4.6160000000000005,13.74,1034.593,16.915,-1.762,0,3
44,ut_disgust_44-m-toilet,disgust,0.696,526.586,1209.151,2510.1910000000003,3707.364,4030.343,4576.544,135.255,152.87,118.94,152.872,14.933,118.939,117.823,33.819,420.594,728.323,1520.635,442.532,116.197,12.216,9.512,2.2,1049.163,16.68,-1.047,0,3
45,ut_disgust_45-m-toilet,disgust,2.571,609.815,1001.957,2201.275,3723.8179999999998,5603.1990000000005,6119.139,163.45600000000002,164.98,294.02,294.02,89.99,117.684,146.704,71.156,567.805,740.015,1141.204,557.896,138.959,14.199000000000002,9.787,4.65,1069.891,16.357,-0.873,0,3
46,ut_disgust_46-m-toilet,disgust,1.215,563.686,1055.653,2638.1,3710.434,4607.25,5584.68,172.28099999999998,167.56,138.01,187.303,38.684,138.006,108.352,50.699,385.037,603.201,1102.796,531.9119999999999,120.23200000000001,11.932,10.076,7.27,1074.807,16.282,-0.798,0,3
47,ut_disgust_51-m-toilet,disgust,0.604,645.9159999999999,1060.9669999999999,2793.54,4403.420999999999,5211.9259999999995,5884.328,149.09,282.89,101.77,282.888,7.596,101.76799999999999,816.5369999999999,339.916,612.1519999999999,737.966,1052.851,639.2230000000001,107.382,12.423,8.644,2.18,1088.713,16.074,-1.066,0,3
48,ut_disgust_52-m-toilet,disgust,1.42,612.29,1506.493,2707.094,3573.093,4920.581,7606.9259999999995,139.333,152.81,98.44,174.794,71.14699999999999,98.439,236.202,170.18400000000003,526.79,811.931,1804.514,636.2959999999999,153.998,8.097999999999999,19.017,0.9,1107.9080000000001,15.796,-1.375,0,3
49,ut_disgust_54-m-toilet,disgust,0.653,492.57599999999996,938.064,2874.0440000000003,3790.12,4904.565,5717.7519999999995,187.606,122.6,214.17,236.882,49.005,122.6,236.49400000000003,214.183,465.602,600.332,1048.19,470.491,75.783,9.182,8.254,14.38,1180.9080000000001,14.819,-1.603,0,3
50,ut_effort-m-10-toilet,effort,0.628,661.442,1868.902,2880.881,3732.743,4785.524,6289.409000000001,351.75,355.55,348.01,355.545,13.685,348.014,235.358,0.0,702.209,1803.62,2636.155,1948.895,118.053,15.130999999999998,7.8020000000000005,0.86,1121.518,15.604000000000001,-1.676,1,5
51,ut_effort-m-11-sports,effort,0.44799999999999995,1235.8980000000001,2294.597,2944.802,4166.367,5325.008000000001,6359.751,185.683,185.94,186.8,188.437,35.566,183.05,80.88,17.405,236.553,1078.156,2343.317,182.079,195.261,5.575,35.025,1.51,904.052,19.357,-1.184,1,5
52,ut_effort-m-13-sports,effort,0.589,458.63699999999994,1077.202,1808.832,2506.721,4533.025,5585.741,263.32599999999996,393.7,146.43,405.06800000000004,11.636,146.429,1709.783,1009.962,403.542,651.455,1374.0729999999999,364.059,104.86,11.043,9.495,1.67,893.4069999999999,19.588,-1.120,1,5
53,ut_effort-m-15-sports,effort,0.8270000000000001,627.363,1156.7930000000001,2310.601,3358.486,5002.097,6476.267,239.972,187.54,308.08,310.193,69.99600000000001,185.74099999999999,642.576,342.05800000000005,558.409,853.1160000000001,1205.913,575.919,103.925,14.507,7.164,2.13,869.1210000000001,20.135,-1.472,1,5
54,ut_effort-m-16-sports,effort,0.622,595.257,1146.627,1812.273,2669.4790000000003,3549.34,4002.847,262.323,358.19,197.58,360.10400000000004,16.267,195.31400000000002,945.3530000000001,387.269,558.0,835.3760000000001,1890.4679999999998,547.987,133.60399999999998,15.267999999999999,8.75,1.98,1139.027,15.364,-1.301,1,5
55,ut_effort-m-18-sports,effort,0.6970000000000001,737.6239999999999,1399.642,2137.53,3537.9640000000004,4331.532,5646.659000000001,335.606,318.32,254.11,378.23400000000004,58.11,254.111,298.019,229.623,1125.887,1500.55,2012.1529999999998,1433.931,103.046,11.482999999999999,8.974,8.47,663.316,26.383000000000003,-1.681,1,5
56,ut_effort-m-21-sports-roar,effort,1.749,725.9169999999999,1247.195,2094.865,3820.4240000000004,5172.73,6348.453,265.28,388.65,347.66,388.64599999999996,13.17,96.62200000000001,929.8839999999999,507.32199999999995,686.905,975.582,1353.026,719.262,89.191,15.155,5.885,2.81,680.36,25.721999999999998,-1.499,1,5
57,ut_effort-m-22-sports,effort,0.627,509.569,1255.424,2069.78,3148.866,4140.585999999999,5160.083,409.834,402.27,472.85,472.847,65.947,367.466,601.1669999999999,59.605,487.099,911.789,1342.5320000000002,1248.336,110.71799999999999,8.771,12.623,2.89,873.6569999999999,20.031,-1.427,1,5
58,ut_effort-m-24-sports-wheeze,effort,1.945,665.11,1380.734,1924.855,2184.8720000000003,3900.655,5537.279,177.202,166.59,111.19,336.31,51.772,85.15100000000001,367.555,276.243,656.053,1035.698,1590.9620000000002,654.173,94.272,15.424000000000001,6.112,3.73,754.047,23.208000000000002,-1.648,1,5
59,ut_effort_04,effort,0.998,748.16,1634.5439999999999,2405.311,5179.295999999999,7990.25,9469.249,226.662,141.15,173.71,440.565,57.812,85.39399999999999,1580.066,1024.948,678.154,844.2489999999999,1164.775,851.1139999999999,83.928,19.538,4.296,3.15,895.563,19.541,-1.845,1,5
60,ut_effort_13,effort,0.895,680.584,2236.1820000000002,5095.003,7417.283,8615.86,9373.917,222.172,140.89,304.64,320.54900000000004,44.191,96.65299999999999,780.2919999999999,721.1189999999999,597.4680000000001,868.815,1257.367,673.8810000000001,61.803000000000004,18.437,3.352,1.36,790.0989999999999,22.149,-1.237,1,5
61,ut_effort_20,effort,0.9179999999999999,911.698,1395.576,2624.502,5344.428000000001,7568.536999999999,9110.405,346.051,166.37,466.83,468.44300000000004,50.985,119.99799999999999,791.8530000000001,704.318,910.7189999999999,1158.327,1441.9679999999998,915.3530000000001,92.29299999999999,19.066,4.841,3.59,870.75,20.098,-2.211,1,5
62,ut_effort_24,effort,1.0,709.561,1368.875,2418.453,3232.9190000000003,4585.646,5006.767,229.449,167.39,137.0,274.974,13.368,137.001,382.11300000000006,250.12599999999998,700.18,1061.993,1595.912,672.71,75.968,16.0,4.748,2.88,889.243,19.68,-1.635,1,5
63,ut_effort_26,effort,0.642,701.0989999999999,1374.504,3485.3579999999997,4973.399,5779.184,6428.2080000000005,247.915,326.78,105.65,351.814,18.05,99.39299999999999,711.785,672.7869999999999,739.082,1202.961,1515.244,683.934,99.855,14.797,6.747999999999999,6.5,1146.517,15.264000000000001,-1.929,1,5
64,ut_effort_f_01,effort,1.902,1112.12,1559.455,1942.45,2543.455,3053.844,3728.375,269.64799999999997,428.13,368.96,428.13199999999995,7.108,112.53200000000001,713.363,440.63199999999995,1325.756,1669.973,2224.737,1581.253,77.446,18.923,4.093,1.14,735.929,23.779,-3.392,1,5
65,ut_effort_f_03,effort,0.7829999999999999,824.3789999999999,1428.899,2488.525,3336.225,4216.246,5127.0470000000005,380.876,411.2,421.16,423.3,59.438,292.493,544.1569999999999,332.45300000000003,1706.717,2701.1240000000003,4369.753,2559.595,89.64200000000001,11.497,7.797000000000001,2.66,1010.2860000000001,17.322,-1.752,1,5
66,ut_effort_f_06,effort,0.8420000000000001,382.199,1582.045,2437.06,3110.553,3600.533,4418.344,289.462,221.37,294.84,329.881,29.590999999999998,221.372,598.145,126.229,342.89599999999996,1159.026,3114.822,310.025,78.74,20.776,3.79,1.96,1102.4460000000001,15.874,-1.816,1,5
67,ut_effort_f_08-mild,effort,1.0390000000000001,336.036,1144.65,1934.899,2360.759,3730.0840000000003,4578.388,301.371,312.82,304.99,313.728,24.82,282.32,86.617,32.408,317.322,719.832,2983.409,299.697,104.29,15.882,6.567,1.99,995.715,17.575,-1.510,1,5
68,ut_effort_f_09,effort,0.531,688.805,1383.3629999999998,2964.324,4186.441,5179.822,6185.901999999999,318.413,343.15,301.14,343.154,13.073,301.144,214.33599999999998,57.254,641.869,1086.004,2755.012,656.745,172.701,6.593999999999999,26.19,1.93,1142.098,15.323,-1.896,1,5
69,ut_effort_f_11,effort,0.764,754.592,1177.3239999999998,2657.1279999999997,3933.927,5264.8330000000005,6096.535,308.348,318.43,206.22,378.413,24.209,206.225,515.845,300.888,713.525,965.289,1345.3210000000001,753.784,114.353,13.74,8.322000000000001,0.75,959.378,18.241,-1.081,1,5
70,ut_effort_f_14-quiet-grunt,effort,0.732,1136.798,1971.1629999999998,2520.54,3641.093,4671.702,5590.316999999999,186.951,284.26,81.99,284.265,10.637,81.98700000000001,328.37199999999996,246.797,365.12800000000004,944.052,1994.075,285.032,94.836,17.085,5.551,-1.02,908.691,19.258,-1.223,1,5
71,ut_effort_f_18-wheeze-sigh,effort,1.2109999999999999,589.164,1351.74,3453.821,4051.403,5788.630999999999,6808.214,389.16900000000004,220.7,489.08,489.077,75.759,209.375,932.953,581.184,1155.4160000000002,2022.23,5160.5740000000005,1342.882,107.774,9.907,10.878,6.91,1222.392,14.315999999999999,-2.639,1,5
72,ut_effort_f_19-sigh,effort,0.889,476.333,1404.325,2108.129,3102.789,3465.95,4265.403,431.142,403.21,451.35,464.10900000000004,18.977999999999998,395.445,556.79,83.882,476.676,1670.344,7584.83,436.585,70.02600000000001,12.936,5.412999999999999,-0.16,1073.363,16.304000000000002,-1.617,1,5
73,ut_effort_f_21,effort,0.5489999999999999,453.791,1952.49,2690.804,3315.966,5634.133000000001,6349.305,148.989,149.59,148.11,149.58700000000002,9.917,148.113,36.861999999999995,0.0,453.72,1300.914,3621.842,294.055,87.18299999999999,14.575999999999999,5.981,-0.81,1179.5510000000002,14.835999999999999,-1.399,1,5
74,ut_effort_f_23-roar,effort,1.686,866.58,1310.132,1757.9979999999998,2464.495,3084.953,4061.725,199.643,210.51,395.73,418.83099999999996,65.63,96.75,911.34,99.038,1125.055,1426.809,1831.6529999999998,1223.556,101.315,13.937999999999999,7.269,2.55,930.14,18.814,-1.458,1,5
75,ut_exams_00-achievement-relief-roar-m,joy,2.725,500.36,1078.413,2238.381,3420.716,4514.97,5030.531,260.668,315.13,438.14,438.139,29.886999999999997,98.917,1114.404,327.098,455.741,639.76,1164.395,498.49800000000005,164.976,7.891,20.906999999999996,4.21,1815.72,9.638,--undefined--,1,8
76,ut_exams_01-relief-triumph-m-tone,joy,0.528,604.8580000000001,1211.232,3510.9570000000003,4342.835999999999,5269.177,6035.335,312.334,300.47,480.43,480.43,65.143,194.15,1835.537,282.782,585.3380000000001,709.8589999999999,1676.799,636.231,106.913,19.875,5.379,5.67,969.205,18.055999999999997,-2.143,1,8
77,ut_exams_04-m-relief-sigh,joy,0.943,693.8389999999999,1162.452,2232.199,3500.3379999999997,4692.124,5675.847,215.016,214.42,183.41,230.857,13.542,183.40900000000002,266.171,55.032,813.248,2017.4560000000001,7333.201,679.2130000000001,93.685,10.075,9.299,2.24,909.939,19.232,-2.086,1,8
78,ut_exams_05-f-laugh,joy,2.01,719.45,1336.078,3013.59,4136.101,4798.558,5541.118,354.074,274.39,364.58,442.37699999999995,30.693,207.959,408.705,387.37300000000005,701.056,900.684,1456.086,685.1239999999999,239.243,7.462000000000001,32.062,10.09,1033.976,16.925,-2.320,1,8
79,ut_exams_08-f-sigh-relief,joy,0.938,732.0360000000001,1213.55,2891.611,3948.3509999999997,4699.2,6031.422,281.243,255.79,252.17,309.295,20.576999999999998,251.257,314.252,108.215,783.0239999999999,1126.62,1258.24,1214.094,118.177,15.463,7.642,7.83,934.742,18.722,-1.529,1,8
80,ut_exams_10-f-short-laugh,joy,1.675,596.875,1206.119,1871.4589999999998,2582.515,3519.2270000000003,5685.932,294.528,376.09,236.41,427.483,69.852,114.367,551.394,448.218,634.504,1140.15,2349.913,585.643,161.05100000000002,15.817,10.182,4.11,1061.272,16.49,-2.163,1,8
81,ut_exams_13-m-sigh-relief,joy,2.2680000000000002,476.74300000000005,1153.797,2351.16,3335.087,4213.321,5193.785,367.077,365.57,371.99,447.595,20.427,158.821,471.35400000000004,451.906,409.207,753.919,1272.7160000000001,405.18699999999995,132.942,14.55,9.137,5.87,1051.133,16.649,-1.380,1,8
82,ut_exams_15-c-sigh-laugh,joy,1.01,533.9730000000001,1453.049,2198.445,2758.9709999999995,3420.0759999999996,4667.638,306.325,245.76,366.85,381.744,88.20100000000001,245.763,412.04,0.0,530.001,1163.635,3244.0820000000003,518.37,167.908,12.876,13.04,1.9,981.063,17.838,-1.757,1,8
