id,sex,age,height,condition,f0,spacing
62,F,27,153,big,187,1078
62,F,27,153,normal,212,1235
62,F,27,153,small,322,1344
63,F,30,157,big,171,1242
63,F,30,157,normal,190,1301
63,F,30,157,small,234,1330
64,F,24,166,big,197,1125
64,F,24,166,normal,210,1263
64,F,24,166,small,327,1296
65,F,23,168,big,123,1117
65,F,23,168,normal,190,1212
65,F,23,168,small,236,1295
66,M,31,170,big,117,977
66,M,31,170,normal,136,1110
66,M,31,170,small,210,1366
