"label","1134_metres","1180_metres","1235_metres","1274_metres","trend_value","trend"
"regreg",24,18,14,12,-12,"-"
"aegcau",6,2,0,1,-5,"-"
"erirub",5,0,0,1,-4,"-"
"poepal",5,1,0,2,-3,"-"
"cerfam",3,2,4,7,4,"+"
"coccoc",3,0,11,0,-3,"-"
"turili",2,0,1,0,-2,"-"
"lopcri",1,0,20,5,4,"+"
"picvir",1,1,0,0,-1,"-"
"turphi",1,3,0,0,-1,"-"
"denmaj",0,0,12,2,2,"+"
