,PASSEIFORME et COLUMBIFORMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICIFORMES,,,,Galliformes et Charadriiformes,,,"Strigiformes, Accipitriformes, Falconiformes",,,,,rain,wind,insect,comments,
filename,turphi,fricoe,perate,erirub,sylatr,colpal,turmer,lopcri,pyrpyr,turvis,trotro,gargla,regign,regreg,turtor,cerfam,phycol,poemon,loxcur,prumod,siteur,cyacae,anttri,nuccar,corcor,parmaj,carspi,coccoc,poepal,coccor,carcar,motalb,carcan,cuccan,phooch,phopho,phybon,phytro,sercit,carchl,embcit,drymar,denmaj,pictri,picvir,tetbon,teturo,scorus,glapas,aegfun,stralu,butbut,falper,,,,,
S4A03536_20190622_190000.wav,6,17,2,12,,,6,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Compliqué : 2 espèces font chant et cri (rouge-gorge et pinson…,
S4A03536_20190623_104500.wav,,1,7,2,8,,,,,,,,,1,1,1,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
S4A03536_20190623_151500.wav,,3,,7,5,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
S4A03536_20190623_200000.wav,9,4,,7,,,4,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Une mesange nonnette il me semble...,
S4A03536_20190623_224500.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Avion, rien",
S4A03536_20190624_021500.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Presque silence, un moteur en fin",
S4A03536_20190624_051500.wav,18,,,,4,1,6,,,,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Bande très sonore, tout le temps…A voir si les indices reflèteront cette densité sonore?",
S4A03536_20190624_103000.wav,,5,,7,6,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
S4A03536_20190624_133000.wav,,5,2,2,6,,,3,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
S4A03536_20190624_174500.wav,,9,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
S4A03536_20190624_180000.wav,,5,,7,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Avion. Bande sonore avec pouillot véloce présent tout le temps (98 % du temps)…pourtant, seulement indice 4, car 3 micro-coupures de 0,5 s… Comment réflèter cette présence constante ? Par exemple, le rouge-gorge ou le pinson obtienne dans cette même bande des indices plus élevés alors que le PV est bien plus présent et sonore...",
S4A03536_20190626_011500.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silence,
S4A03536_20190626_124500.wav,,1,2,7,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,Avion….,
S4A03536_20190627_064500.wav,13,2,1,5,,4,9,3,4,,5,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Une des plus forte diversité je pense depyis le début…10 espèces… Bruit de voiture assez fort,
S4A03536_20190627_113000.wav,,6,,4,5,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Avion aussi…,
S4A03536_20190627_160000.wav,,,,6,,,,,,,,,2,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,avion,
S4A03536_20190627_221500.wav,2,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,"avion, première chevechette, loin",
S4A03536_20190628_174500.wav,,,,7,1,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
S4A03536_20190628_211500.wav,4,12,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,SYLATR 3 dont 2 séquences de cliquetis,
S4A03536_20190629_003000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rien, bruit mystère à 15 s…Sanglier ?",
S4A03536_20190629_020000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Insectes !! À 2h00 ?!,
S4A03536_20190629_073000.wav,9,10,1,7,,1,,,,,21,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,"Pffff, bande complexe…",
S4A03536_20190629_213000.wav,10,5,,5,,,,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
S4A03536_20190630_011500.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"moteur, RAS",
S4A03536_20190630_030000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,moteur,
S4A03536_20190630_063000.wav,8,5,,3,4,13,,1,,,4,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,complexe (comme tous les matins),
S4A03536_20190630_131500.wav,,2,,10,2,,,,,,1,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Avion,
S4A03536_20190630_163000.wav,,,,7,,,,,2,,,,,,,,5,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Première mesange charbo…discrète, fin de piste.",
S4A03536_20190630_193000.wav,,1,,8,,,,,,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Difficile sur les cris de différencier les deux roitelets !,
S4A03536_20190630_213000.wav,8,4,,5,2,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,"Insecte avec stridulation jamais vu ni entendu, à 10 khz ? Première bande avec pic noir et bec-croisé",
S4A03544_20190613_003000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4A03544_20190613_061500.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4A03544_20190613_171500.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4A03544_20190613_210000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4A03544_20190614_030000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4A03544_20190614_083000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4A03544_20190614_100000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4A03544_20190614_210000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4A03544_20190614_231500.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4A03544_20190615_011500.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4A03544_20190615_051500.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4A03544_20190615_151500.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4A03544_20190615_164500.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4A03544_20190616_110000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4A03544_20190616_231500.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4A03544_20190617_120000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4A03544_20190618_011500.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4A03544_20190618_184500.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4A03544_20190619_004500.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
