"label","1134_metres","1180_metres","1235_metres","1274_metres"
"regreg",24,18,14,12
"aegcau",6,2,0,1
"erirub",5,0,0,1
"poepal",5,1,0,2
"fulatr",4,0,0,0
"cerfam",3,2,4,7
"coccoc",3,0,11,0
"turili",2,0,1,0
"butbut",1,0,0,0
"lopcri",1,0,20,5
"picvir",1,1,0,0
"siteur",1,0,0,0
"turphi",1,3,0,0
"denmaj",0,0,12,2
"regign",0,0,1,0
"drymar",0,0,0,6
"corcor",0,0,0,5
