filename,t_call,f_principal_khz,low_freq_khz,high_freq_khz,delta_freq_khz,frequency_standard_deviation_khz,slope_khz_s,sinuosity,mean_power_db_hz,tonality,peak_freq_khz
WPT001_20241002_184500_33_36.wav,3.0,0.0234375,0.0,24.0,24.0,6.934965753340099,0.15430789428000097,81.63093860370573,-23.47495,23.47495,8.6015625
WPT001_20241002_184500_42_45.wav,3.0,0.0234375,0.0,24.0,24.0,6.934965753340099,0.021531334085668218,48.127787330499075,-25.606792,25.606792,8.1796875
WPT001_20241002_184500_57_60.wav,3.0,0.0234375,0.0,24.0,24.0,6.934965753340099,2.1594124573133591e-13,60.22361430234014,-30.547377,30.547377,0.1640625
WPT002_20241002_184500_6_9.wav,3.0,0.0703125,0.0,24.0,24.0,6.934965753340099,1.2631715996875719,48.574937304819564,-28.82086,28.82086,8.25
WPT002_20241002_190000_3_6.wav,3.0,0.046875,0.0,24.0,24.0,6.934965753340099,-0.039474112490234727,27.83804053374135,-22.531733,22.531733,0.0703125
WPT002_20241003_080000_57_60.wav,3.0,0.140625,0.0,24.0,24.0,6.934965753340099,-0.01076566704286573,37.150467299260825,-25.069254,25.069254,0.28125
WPT002_20241003_081500_21_24.wav,3.0,0.28125,0.0,24.0,24.0,6.934965753340099,-0.06818255793770135,55.55909003581138,-30.14282,30.14282,7.8984375
WPT002_20241003_081500_30_33.wav,3.0,0.1640625,0.0,24.0,24.0,6.934965753340099,-0.06100544657571067,25.63064135452696,-32.327007,32.327007,0.1875
WPT002_20241003_101500_30_33.wav,3.0,0.046875,0.0,24.0,24.0,6.934965753340099,0.00358855568092481,31.103272100435206,-40.921333,40.921333,8.0390625
WPT002_20241003_123000_54_57.wav,3.0,0.0703125,0.0,24.0,24.0,6.934965753340099,-0.025119889766543467,36.36080061081069,-26.253933,26.253933,0.0703125
WPT003_20241003_083000_36_39.wav,3.0,0.0703125,0.0,24.0,24.0,6.934965753340099,0.010765667042782394,12.259535372158181,-29.397474,29.397474,0.046875
WPT003_20241003_104500_12_15.wav,3.0,0.046875,0.0,24.0,24.0,6.934965753340099,-0.02511988976648319,64.1594785193306,-41.06335,41.06335,7.828125
WPT003_20241003_104500_33_36.wav,3.0,0.046875,0.0,24.0,24.0,6.934965753340099,0.017942778404618723,61.35615810646718,-39.315765,39.315765,0.046875
WPT003_20241003_104500_39_42.wav,3.0,0.9140625,0.0,24.0,24.0,6.934965753340099,-0.04665122385224564,73.62005404519768,-36.787113,36.787113,8.53125
WPT003_20241003_104500_6_9.wav,3.0,0.046875,0.0,24.0,24.0,6.934965753340099,0.14354222723715443,65.44010035983531,-44.599045,44.599045,7.78125
WPT003_20241003_104500_9_12.wav,3.0,0.046875,0.0,24.0,24.0,6.934965753340099,-0.043062668171159786,54.82699185814512,-38.683258,38.683258,0.046875
WPT004_20241002_181500_39_42.wav,3.0,0.09375,0.0,24.0,24.0,6.934965753340099,0.025119889766509505,14.571071848928263,-35.562943,35.562943,8.4375
WPT004_20241002_181500_6_9.wav,3.0,0.046875,0.0,24.0,24.0,6.934965753340099,-0.10406811474701014,27.654658566787564,-31.226864,31.226864,7.8515625
WPT004_20241002_191500_18_21.wav,3.0,0.1875,0.0,24.0,24.0,6.934965753340099,4.746250321560087e-14,37.82585858722069,-39.58842,39.58842,8.1796875
WPT004_20241002_191500_30_33.wav,3.0,0.2109375,0.0,24.0,24.0,6.934965753340099,0.003588555680918631,38.79201128530831,-34.31954,34.31954,0.2109375
WPT004_20241002_191500_6_9.wav,3.0,0.046875,0.0,24.0,24.0,6.934965753340099,-0.021531334085583526,13.831031040609531,-37.62318,37.62318,0.046875
WPT004_20241003_074500_54_57.wav,3.0,0.046875,0.0,24.0,24.0,6.934965753340099,0.007177111361879442,19.092588668490368,-31.301857,31.301857,0.046875
